Participant,trigger_no,fzd_hands0_fingerTip_coordinates_x,fzd_hands0_fingerTip_coordinates_y,fzd_hands0_fingerTip_coordinates_z,eyegaze_new_coordinates_x,eyegaze_new_coordinates_y,angle_center,Buidling_half_width,eyegaze_new_coordinates_x_without_tablet_&_road_gazes,eyegaze_new_coordinates_y_without_tablet_&_road_gazes,angle_center_scaled,Buidling_half_width_scaled,horizontal_angle_finger_pointing_unscaled,eyegaze_horiz_angle_x,horizontal_angle_finger_pointing,eyegaze_horiz_angle_x_scaled_without_tablet,side,difference,D_p,D_g
66,49.0,-0.28117067,-0.12694781,-0.20882542,58.39999999999998,-95.13,8.75530303270811,3.358547856712361,481.35,80.19,17.86957348975725,6.85479617554993,38.0,4.505660446870302,17.86,18.939860010471243,0.5,33.4943395531297,-29.24469696729189,4.249642585837807
66,49.0,-0.28412879,-0.12814616,-0.20846404,132.34000000000003,-128.91,8.759660483861772,3.370601032144525,481.35,80.19,17.878467047561877,6.879396706606975,38.0,10.21025862224,17.86,18.939860010471243,0.5,27.789741377760002,-29.240339516138228,-1.4505981383782274
66,49.0,-0.28413633,-0.12766939,-0.20818849,90.39999999999998,-112.84,8.801880370188478,3.38407790221958,481.35,80.19,17.964637835554683,6.906902998430162,38.0,6.97451548625129,17.86,18.939860010471243,0.5,31.025484513748708,-29.198119629811522,1.8273648839371877
66,49.0,-0.30594087,-0.10944428,-0.20663029,481.35,80.19,24.951059449807484,10.63233611801802,481.35,80.19,50.92511233705707,21.70059801687477,45.0,37.13698041268871,21.15,18.939860010471243,0.5,7.8630195873112925,-20.048940550192516,-12.185920962881223
66,49.0,-0.3064265,-0.10883919,-0.20568006,471.35,40.56999999999999,25.25832301561094,10.761648874855233,471.35,40.56999999999999,51.55223727486193,21.96452535357953,45.0,36.36546321288215,21.15,18.54638623856989,0.5,8.634536787117852,-19.74167698438906,-11.107140197271207
66,49.0,-0.3065064,-0.10801072,-0.20541161,303.13,34.620000000000005,25.69141866013873,10.89322620667566,303.13,34.620000000000005,52.436185485343145,22.233074687825024,45.0,23.38700087773622,21.15,11.927370447645472,0.5,21.61299912226378,-19.30858133986127,2.30441778240251
66,50.0,-0.28714618,-0.34328404,-0.23889789,-328.97,-58.660000000000025,39.356967173484186,11.662413124396627,-328.97,-58.660000000000025,80.32757000108123,23.802985186893515,-15.0,-25.38060132203637,-7.05,-12.944106674238547,0.5,10.38060132203637,54.356967173484186,64.73756849552055
66,50.0,-0.2901839,-0.34566152,-0.24008518,-372.32,-6.259999999999991,40.14328988777708,11.772566400867245,-372.32,-6.259999999999991,81.93245466095301,24.02780802417005,-15.0,-28.7251283831978,-7.05,-14.64981547543088,0.5,13.725128383197799,55.14328988777708,68.86841827097487
66,50.0,-0.28735065,-0.348077,-0.24110658,-406.04,-10.779999999999973,41.0115412300038,11.87991576902204,-406.04,-10.779999999999973,83.70455565043775,24.246908084573988,-15.0,-31.326684380945512,-7.05,-15.97660903428221,0.5,16.326684380945512,56.0115412300038,72.33822561094931
66,51.0,-0.28391209,-0.31917611,-0.22858518,-228.54,-64.29000000000002,-28.5121806461352,7.141485313823345,,,-58.19336069876194,14.57577152551345,-15.0,-17.6322540843791,-7.05,,-0.5,2.632254084379099,-13.5121806461352,-10.8799265617561
66,51.0,-0.2871199,-0.32028332,-0.22694325,-219.18,-82.25999999999999,-29.015261741208622,7.213185633644445,,,-59.2201492138068,14.722111878268308,-15.0,-16.91011398536016,-7.05,,-0.5,1.9101139853601588,-14.015261741208622,-12.105147755848463
66,51.0,-0.28360936,-0.32026383,-0.2293222,-224.38,-105.62,-29.530031556969707,7.278359634786414,,,-60.27079440777517,14.855132014599072,-15.0,-17.31130292925957,-7.05,,-0.5,2.3113029292595684,-14.530031556969707,-12.218728627710139
66,52.0,-0.27830574,-0.37453929,-0.22665948,121.87,158.48000000000002,-21.169104640030312,7.161243193709264,,,-43.20614257030186,14.616097358360609,-35.0,9.402480114042534,-16.45,,-0.5,-44.40248011404253,13.830895359969688,-30.571584754072845
66,52.0,-0.27751696,-0.37615442,-0.22780076,107.17999999999996,207.1,-21.45092589731681,7.231588011980836,,,-43.78133975642362,14.759671132452889,-42.0,8.269121347526694,-19.74,,-0.5,-50.26912134752669,20.54907410268319,-29.720047244843506
66,52.0,-0.27584374,-0.37215215,-0.22831869,4.029999999999973,171.19,-21.698548729361445,7.30299520991157,,,-44.28673795662671,14.905413223429514,-42.0,0.3109214315220411,-19.74,,-0.5,-42.31092143152204,20.301451270638555,-22.009470160883485
66,53.0,-0.30360949,-0.17699136,-0.22624147,-110.95,1.1100000000000136,-72.26723442761086,37.18861316597949,,,-147.49742546675375,75.90195947176413,20.0,-8.55998333185377,9.4,,-0.5,28.559983331853772,-92.26723442761086,-63.70725109575709
66,53.0,-0.30373898,-0.17738123,-0.2272308,-131.27999999999997,11.29000000000002,-74.04062527313364,37.87861681146791,,,-151.11691618246576,77.310256912206,20.0,-10.128477799060503,9.4,,-0.5,30.128477799060505,-94.04062527313364,-63.91214747407314
66,53.0,-0.30168435,-0.1786132,-0.22736558,-146.19,-11.329999999999984,-75.68449374387679,38.49685270530261,,,-154.47205173125252,78.57207637152263,20.0,-11.278809943972083,9.4,,-0.5,31.278809943972085,-95.68449374387679,-64.40568379990471
66,54.0,-0.26073539,-0.32923526,-0.24743031,-142.64999999999998,173.58999999999995,22.275980444919217,11.079858191539582,-475.25,-338.0,45.46527608808012,22.613990568932287,-15.0,-11.00569285524056,-7.05,-18.699841009611426,0.5,-3.994307144759439,37.27598044491921,33.28167330015978
66,54.0,-0.25705421,-0.32406431,-0.24947631,-475.25,-338.0,22.595782030000112,11.230877609864434,-475.25,-338.0,46.11799112323023,22.922221201733308,-15.0,-36.66635492080671,-7.05,-18.699841009611426,0.5,21.66635492080671,37.59578203000011,59.26213695080682
66,54.0,-0.25580478,-0.3234283,-0.25059447,-490.75,-360.25,22.98408951617461,11.371342462105268,-490.75,-360.25,46.91052670251237,23.20890996515685,-15.0,-37.86220658050688,-7.05,-19.309725356058507,0.5,22.86220658050688,37.984089516174606,60.846296096681485
66,55.0,-0.27935472,-0.13547315,-0.21300286,-81.47000000000003,25.05000000000001,-11.22560291073603,4.183533512485768,,,-22.911455540812234,8.538591898983453,41.0,-6.285550626824037,19.27,,-0.5,47.28555062682403,-52.22560291073603,-4.940052283911992
66,55.0,-0.27930647,-0.1334599,-0.21342228,-93.42000000000002,23.49000000000001,-11.235900040136697,4.2079187573546,,,-22.932471981918997,8.588362183760736,41.0,-7.207513680592874,19.27,,-0.5,48.207513680592875,-52.2359000401367,-4.0283863595438225
