participant,trigger,x,y,z,gx,gy,target,difference,side,angle_p,angle_g,l_g,l_p,cond,sgb,sgm,sgc,f_b,f_m,f_c,h_B_w,distance,dense_column,VS left,VS right,Height,DomHand,regularity,Geschlecht,regularity_updated,mrde,predict
29,8.0,-0.2292888466666666,-0.1566067933333333,-0.2829070566666666,373.7266666666666,-54.96333333333335,13.831862374129742,-1.7024519869111832,0.5,27.33333333333333,29.03578532024452,4.4,1.2,1.0,0.4000000000000001,0.5,3.5,1.0,1.0,4.0,2.031235130625807,near,dense,2.0,0.75,122,2,1,2,1,0.0023154579920309,13.836565613746645
29,81.0,-0.2260913066666666,-0.34718892,-0.2508851,-167.61666666666667,-9.176666666666677,-14.623438712348516,-21.31076367611062,-0.5,-34.333333333333336,-13.022569657222707,2.4,1.8,4.0,1.3999999999999997,0.0,1.0,1.0,0.0,1.0,4.684400150798886,far,non_dense,2.0,0.75,122,2,1,2,1,0.0025274468064342,-14.635278284549711
29,34.0,-0.2108203733333333,-0.14893546,-0.3037824133333333,374.5833333333333,-44.623333333333335,15.274242499030183,15.8976580445381,0.5,45.0,29.1023419554619,0.6,1.2,2.0,0.0,0.0,0.6,0.0,0.0,1.0,2.5735465735941805,far,dense,2.0,0.75,122,2,1,2,1,0.0027558836731718,15.267150104045868
63,42.0,-0.3792960377777777,-0.3662563866666666,-0.3943383266666667,-382.6922222222222,-167.51333333333332,-15.870473576914868,-0.6672998659863048,-0.5,-29.33333333333333,-28.66603346734703,1.5,0.6,2.0,0.4,0.0,1.1,1.0,0.0,2.0,2.051313447319421,far,dense,99.0,99.0,119,2,1,1,1,0.0043552750319677,-15.861539542675018
73,23.0,-0.3577427966666667,-0.3713385866666667,-0.25294168,-484.2833333333333,-47.723333333333336,-14.247473616477912,13.62726526188968,-0.5,-24.0,-37.62726526188968,0.6,2.7999999999999994,1.0,0.0,0.6,0.0,0.0,1.0,0.0,2.074190115298644,near,dense,0.0,0.0,114,2,1,1,1,0.0044442966593656,-14.256691932678224
73,59.0,-0.3766381066666667,-0.1891332533333333,-0.2547114366666667,257.74,-194.36,7.652194186408837,-14.358906548598732,0.5,5.666666666666667,20.0255732152654,7.7,3.0,3.0,0.8000000000000002,3.2999999999999994,3.6,1.0,2.0,3.0,2.790426147307283,near,non_dense,0.0,0.0,114,2,1,1,1,0.0053603468941929,7.667151838541031
28,33.0,-0.4550183,-0.05163601,-0.2127261866666666,386.9166666666667,-108.30666666666669,13.052414138235935,-8.048125593399343,0.5,22.666666666666668,30.71479226006601,3.0,2.1,2.0,0.0,0.5,2.5,0.0,1.0,4.0,2.2431135694785134,far,dense,0.0,0.0,115,2,1,1,1,0.0128690536599528,13.081280887126924
73,31.0,-0.3128325466666666,-0.1232581033333333,-0.2306595433333333,365.5266666666666,279.3866666666667,13.873903681540073,9.59974770906633,0.5,38.0,28.40025229093367,6.2,3.2999999999999994,2.0,0.0,3.2999999999999994,2.9,0.0,1.0,3.0,3.7454938881789697,far,dense,0.0,0.0,114,2,1,1,1,0.0136980492955699,13.925209641456604
29,58.0,-0.2266026199999999,-0.1919370266666666,-0.3345747066666666,250.35666666666668,6.429999999999988,11.556624381787277,0.5491470767619381,0.5,20.0,19.450852923238063,11.6,1.7,3.0,1.3,0.8000000000000002,9.5,1.0,1.0,4.0,6.107031990686735,near,non_dense,2.0,0.75,122,2,1,2,1,0.0146535058893719,11.467134952545166
29,40.0,-0.2154585999999999,-0.1326931133333333,-0.3303031833333333,457.23,17.50666666666668,15.717692529724031,-3.1900405815832755,0.5,32.333333333333336,35.52337391491661,1.6000000000000003,1.1,2.0,0.0,0.6,1.0,0.0,1.0,1.0,2.91308679855378,far,dense,2.0,0.75,122,2,1,2,1,0.0150634313360404,15.761573612689972
29,5.0,-0.2179794,-0.16051834,-0.27021585,430.36,-22.77,15.065852099139049,10.230892115514044,0.5,43.66666666666666,33.435774551152626,4.2,1.3999999999999997,1.0,0.0,0.0,4.2,0.0,0.0,5.0,2.358353538151581,near,dense,2.0,0.75,122,2,1,2,1,0.017812492650805,15.023843944072723
15,56.0,-0.1941082266666667,-0.1654368133333333,-0.2284354033333333,408.10666666666674,-123.69,13.254016808904524,-8.114653401110813,0.5,23.33333333333333,31.447986734444147,7.900000000000001,0.8000000000000002,3.0,2.2,1.8,3.9,2.0,1.0,4.0,4.926332107206413,near,non_dense,0.0,0.0,123,1,1,2,1,0.018771863783065,13.346493244171144
15,61.0,-0.2261257166666666,-0.1825361366666666,-0.21631137,207.22666666666663,-40.656666666666666,10.790834740824913,2.03147511020874,0.5,18.0,15.96852488979126,12.4,0.8000000000000002,3.0,1.3,1.5,9.6,1.0,1.0,5.0,4.7786296948150175,near,non_dense,0.0,0.0,123,1,1,2,1,0.0249467666266107,10.910046100616457
38,90.0,-0.4448008933333333,-0.09718761,-0.1980240533333333,321.51000000000005,-37.94666666666666,9.282254918529755,-16.95086053590406,0.5,9.666666666666666,26.617527202570727,4.2,1.5,4.0,3.8,0.4000000000000001,0.0,6.0,1.0,0.0,3.403233896452321,far,non_dense,2.0,2.0,115,2,1,2,1,0.025293159750329,9.196176379919052
29,16.0,-0.2138931633333333,-0.13246179,-0.3263756033333333,89.80000000000003,-258.42333333333335,16.626992675613746,27.02320718771841,0.5,34.0,6.976792812281597,4.2,0.9,1.0,0.0,0.0,4.2,0.0,0.0,5.0,2.689914775113213,near,dense,2.0,0.75,122,2,1,2,1,0.0261431717439787,16.556669771671295
29,45.0,-0.1884103433333333,-0.31163505,-0.31357826,-251.44333333333336,46.34,-14.448365103727951,-11.131387817043908,-0.5,-30.666666666666668,-19.53527884962276,1.5,1.6000000000000003,2.0,1.5,0.0,0.0,1.0,0.0,0.0,1.9207122301540112,far,dense,2.0,0.75,122,2,1,2,1,0.0261800976981025,-14.498649537563324
28,54.0,-0.3849962166666666,-0.1047019333333333,-0.4148995666666666,76.84999999999998,30.58000000000001,13.179184557851835,19.566046071742505,0.5,25.666666666666668,6.10062059492416,5.599999999999999,12.0,3.0,1.3999999999999997,4.2,0.0,2.0,5.0,0.0,7.229674901338821,near,non_dense,0.0,0.0,115,2,1,1,1,0.026716934446702,13.372339308261871
15,60.0,-0.19309862,-0.1564202466666666,-0.2101436799999999,509.14,-48.29333333333333,14.69856050207538,-17.233438886830797,0.5,22.0,39.2334388868308,4.3,0.8000000000000002,3.0,0.6999999999999998,1.8,1.8,1.0,1.0,3.0,5.285736925486442,near,non_dense,0.0,0.0,123,1,1,2,1,0.034379241624834,14.516840875148771
29,27.0,-0.2281140933333333,-0.1868545499999999,-0.2883344,335.2633333333333,-30.433333333333355,12.441785783709292,-2.714136758220864,0.5,23.33333333333333,26.0474700915542,3.6,1.5,2.0,0.5,0.0,3.1,1.0,0.0,4.0,2.1491571930188584,far,dense,2.0,0.75,122,2,1,2,1,0.0351950217678327,12.517425417900084
