participant,trigger,x,y,z,gx,gy,target,difference,side,angle_p,angle_g,l_g,l_p,cond,sgb,sgm,sgc,f_b,f_m,f_c,h_B_w,distance,dense_column,VS left,VS right,Height,DomHand,regularity,Geschlecht,regularity_updated,mrde,predict
14,4.0,-0.3130242333333333,-0.1492910533333333,-0.2057937766666666,266.9166666666667,84.15666666666665,12.813638770896034,0.9582363989347514,0.5,21.0,20.04176360106525,5.599999999999999,1.5,1.0,1.1,0.6,3.9,1.0,1.0,3.0,1.9563651159775188,near,dense,0.0,0.0,118,2,4,1,6,0.599042019831776,11.641693860292435
46,77.0,-0.3483973533333333,-0.2747153533333333,-0.2675983033333333,-270.93333333333334,-164.03666666666666,-11.627333157604811,12.29666237796014,-0.5,-8.666666666666666,-20.963329044626807,7.8,0.6999999999999998,4.0,7.8,0.0,0.0,4.0,0.0,0.0,3.843364089851855,far,non_dense,-1.0,-1.0,115,2,4,2,6,1.0230510778530308,-7.695375382900238
32,13.0,-0.3115971866666667,-0.14539024,-0.2470045933333333,382.3766666666667,-193.24666666666667,11.818573264531272,0.7258598484817208,0.5,32.0,31.27414015151828,1.9,1.9,1.0,0.5,0.8000000000000002,0.6,1.0,1.0,1.0,1.8938648972244736,near,dense,-0.5,-0.5,114,2,5,1,6,1.8799476383583669,15.378940105438232
28,1.0,-0.49723958,-0.3752594099999999,-0.2461894933333333,-307.6666666666667,-123.81,-12.156578164530115,6.423651308241162,-0.5,-18.0,-24.42365130824116,2.6,1.8,1.0,1.7,0.9,0.0,2.0,2.0,0.0,1.6001199948951903,near,dense,0.0,0.0,115,2,1,1,1,0.43891944226777463,-11.454254388809204
11,5.0,-0.3129751466666666,0.0043317266666666,-0.3427945466666666,442.82666666666665,-96.15333333333336,22.01981619056822,-13.387230751739922,0.5,19.666666666666668,33.05389741840659,4.2,9.6,1.0,0.0,4.2,0.0,0.0,5.0,0.0,3.5769008343023514,near,dense,-1.0,-1.25,113,2,4,1,6,2.5734808458999705,12.814730405807495
63,47.0,-0.3631014111111111,-0.3517837211111111,-0.2502631666666666,-348.6011111111111,-150.14,-13.40444334635846,10.890174470446167,-0.5,-15.22222222222222,-26.112396692668387,2.1,0.5,2.0,1.4,0.0,0.7,2.0,0.0,1.0,1.7631059623521026,far,dense,99.0,99.0,119,2,1,1,1,1.7480670949249095,-10.322415828704834
59,34.0,-0.42568607,-0.0291301566666666,-0.2045700666666666,536.72,-77.12666666666667,27.77234786644966,-15.09184636097323,0.5,25.33333333333333,40.42517969430656,6.0,0.9,2.0,5.599999999999999,0.0,0.4000000000000001,6.0,0.0,1.0,4.747779851418184,far,dense,0.0,0.0,119,2,2,2,2,2.55273157551965,15.65254032611847
23,23.0,-0.3839620533333334,-0.3473908599999999,-0.2492322099999999,-473.79333333333335,-146.13666666666666,-14.683438947056798,16.56569545139667,-0.5,-21.0,-37.56569545139667,0.9,1.3999999999999997,1.0,0.0,0.0,0.9,0.0,0.0,2.0,2.29054399599173,near,dense,99.0,99.0,112,2,4,1,6,0.6279660509091777,-13.245055079460144
42,4.0,-0.32087905,-0.0474587633333333,-0.2199371566666666,343.15333333333336,-27.19666666666668,13.577767483547596,-2.857676849869065,0.5,23.0,25.857676849869065,2.6,1.1,1.0,0.5,0.9,1.2,1.0,1.0,2.0,2.0287120737745,near,dense,0.0,0.0,118,2,3,2,3,0.5720452580606803,12.417252361774445
23,48.0,-0.4800482,-0.27349359,-0.24052503,-59.00333333333333,-177.15,-5.063307427201605,-3.655130634651964,-0.5,-8.333333333333334,-4.678202698681369,5.3,2.7999999999999994,2.0,4.0,0.0,1.3,2.0,0.0,3.0,1.3147177557466392,far,dense,99.0,99.0,112,2,4,1,6,1.1467356974541567,-6.570941209793091
25,35.0,-0.31150889,-0.0106972466666666,-0.2306291933333333,631.2199999999999,-260.75333333333333,21.24847113498617,-5.657375328713175,0.5,44.333333333333336,49.99070866204651,3.1,1.9,2.0,0.5,0.6,2.0,1.0,1.0,3.0,3.640594405572346,far,dense,0.0,0.0,117,2,5,1,6,0.13897869510981292,21.754436194896698
28,84.0,-0.4389779233333333,-0.04338338,-0.20047685,298.3666666666668,-16.323333333333323,13.51061502432971,-3.685384925250988,0.5,20.0,23.685384925250982,3.4,1.5,4.0,1.0,1.2,1.2,1.0,1.0,2.0,4.437843713887967,far,non_dense,0.0,0.0,115,2,1,1,1,0.4425012540823415,11.546863615512848
23,64.0,-0.38709523,-0.1743833385714285,-0.3615093921428571,-16.158571428571424,-97.93214285714284,-36.14934354015925,-3.647405294500272,-0.5,-4.928571428571429,-1.2811661340711569,3.2,0.8,3.0,2.4,0.4,0.4,2.0,1.0,1.0,12.91585607089402,near,non_dense,99.0,99.0,112,2,4,1,6,2.529008218615189,-3.485037386417389
14,68.0,-0.2452822533333333,-0.3472932366666666,-0.2319339133333333,-455.1233333333333,16.616666666666674,-11.956145361639516,12.840157479013168,-0.5,-21.33333333333333,-34.1734908123465,1.7,1.0,3.0,0.6,0.4000000000000001,0.6999999999999998,1.0,1.0,1.0,3.760003494882565,near,non_dense,0.0,0.0,118,2,4,1,6,0.28949507953647485,-13.044647872447968
25,34.0,-0.3507356933333334,-0.0690068466666666,-0.2380765033333333,476.65,-236.95666666666668,15.272849257333831,-2.096147163453689,0.5,36.333333333333336,38.42948049678702,4.6,1.8,2.0,0.0,0.9,3.7000000000000006,0.0,2.0,5.0,2.7563290095393858,far,dense,0.0,0.0,117,2,5,1,6,0.6599687772216039,17.091940343379974
63,21.0,-0.2600426566666666,-0.35259221,-0.2722497466666667,-427.75,-161.31,-16.620392363963603,-9.958858049282648,-0.5,-42.0,-32.04114195071735,0.6,0.9,1.0,0.6,0.0,0.0,1.0,0.0,0.0,2.5202857411384776,near,dense,99.0,99.0,119,2,1,1,1,0.5677807283267343,-18.05136203765869
10,49.0,-0.3426203288888889,-0.2188011166666666,-0.3588641022222222,67.19444444444444,-89.7088888888889,13.948217614540434,-4.552932582461763,0.5,0.3333333333333333,4.8862659157950965,6.1,1.5,3.0,0.8999999999999999,0.4,4.8,1.0,1.0,6.0,6.253457332479196,near,non_dense,0.0,0.0,118,1,2,1,2,1.908031623157127,2.0164232701063156
53,31.0,-0.282788635,-0.14029572,-0.261898895,55.795000000000016,-109.17,11.67645810352301,27.746374139997904,0.5,32.0,4.253625860002095,10.7,10.5,2.0,7.7,3.0,0.0,2.0,1.0,0.0,3.2531835707377184,far,dense,0.0,0.0,118,2,2,2,2,1.2899278376833134,15.872830152511597
46,70.0,-0.3306317233333333,-0.30086273,-0.2832902866666666,-349.3566666666666,-87.27666666666666,45.483145412301184,12.031294625740676,0.5,-15.0,-27.031294625740674,5.7,0.6999999999999998,3.0,3.7000000000000006,0.6,1.3999999999999997,4.0,1.0,1.0,13.126123224500075,near,non_dense,-1.0,-1.0,115,2,4,2,6,4.243870489867073,-10.22242158651352
14,29.0,-0.25307408,-0.1872673266666666,-0.2070823533333333,0.0,0.0,12.807593214896466,18.0,0.5,18.0,0.0,3.9,1.3999999999999997,2.0,0.8000000000000002,1.2,1.9,1.0,1.0,2.0,2.1945840756514943,far,dense,0.0,0.0,118,2,4,1,6,1.435582971246667,9.657085686922073
32,80.0,-0.24651436,-0.28847782,-0.2540948,-263.2133333333333,-177.66666666666666,-12.03893731336636,6.527910550020394,-0.5,-15.0,-21.527910550020398,6.0,3.2999999999999994,4.0,1.3999999999999997,2.7999999999999994,1.8,2.0,3.0,3.0,5.973917999463552,far,non_dense,-0.5,-0.5,114,2,5,1,6,0.31767598231130534,-10.141167044639587
33,24.0,-0.3065647,-0.2199268233333333,-0.2189701866666666,150.45000000000002,-195.24666666666667,4.276172916460158,-0.1667581845230999,0.5,11.666666666666666,11.833424851189768,8.3,2.7000000000000006,1.0,2.7999999999999994,4.7,0.8000000000000002,2.0,1.0,1.0,1.1793822443517172,near,dense,0.0,0.0,114,2,2,1,2,4.571034672701194,9.66717004776001
42,24.0,-0.3700325899999999,-0.1641426066666666,-0.2233941933333333,59.71333333333333,-207.8166666666667,3.680529280793451,-0.8329197484301263,0.5,3.6666666666666665,4.499586415096793,7.7,1.1,1.0,4.0,0.0,3.7000000000000006,4.0,0.0,2.0,1.2773881528273168,near,dense,0.0,0.0,118,2,3,2,3,0.6434084423813863,2.858646959066391
11,4.0,-0.3228919277777777,-0.0345742477777777,-0.2907150555555555,347.68111111111114,-212.54555555555555,18.55585736336206,-14.242329250527954,0.5,11.88888888888889,26.13121813941684,3.6,1.6,1.0,2.3,0.0,1.3,2.0,0.0,1.0,2.955428613597385,near,dense,-1.0,-1.25,113,2,4,1,6,2.968228260481801,9.783470630645752
30,90.0,-0.4367119566666666,-0.177401,-0.2349025566666666,224.28333333333333,-143.5,6.247248277760853,-12.982711024229552,0.5,5.0,17.98271102422955,5.1,1.0,4.0,2.6,0.0,2.5,2.0,0.0,3.0,2.4869481144752825,far,non_dense,0.0,0.0,120,1,4,1,6,0.4187817856755562,7.28873685002327
30,76.0,-0.4012963566666667,-0.2969538766666666,-0.2384428466666666,-14.28000000000001,28.790000000000003,-6.442080903502935,-9.855050397149446,-0.5,-11.0,-1.1449496028505532,8.4,0.5,4.0,1.5,0.0,6.900000000000001,1.0,0.0,7.0,1.8795296589133743,far,non_dense,0.0,0.0,120,1,4,1,6,0.4453451841924156,-7.27912038564682
42,92.0,-0.4098985033333333,-0.2398688333333333,-0.2306169433333333,-10.54333333333337,-238.83333333333331,-5.310202753939141,-6.872193526611337,-0.5,-7.666666666666667,-0.7944731400553303,9.1,1.0,4.0,3.8,0.0,5.3,2.0,0.0,6.0,1.959348091541849,far,non_dense,0.0,0.0,118,2,3,2,3,0.20847805031037422,-5.718683823943138
57,8.0,-0.3436424899999999,-0.0971986833333333,-0.2311499033333333,378.0666666666666,-29.96333333333333,13.830212625677158,-11.34160787105786,0.5,19.33333333333333,30.674941204391192,3.6,1.3,1.0,0.0,0.0,3.6,0.0,0.0,3.0,2.118768667686268,near,dense,0.0,0.0,115,2,3,2,3,0.6479372772359596,12.457383424043655
14,2.0,-0.34516971,-0.1777995333333333,-0.20015052,126.27333333333335,60.61333333333332,9.790567102949671,-0.4813873085926185,0.5,9.0,9.481387308592618,4.9,1.3,1.0,1.3,0.6,3.0,1.0,1.0,4.0,1.4443506800756152,near,dense,0.0,0.0,118,2,4,1,6,1.7837619476262532,7.214189320802689
23,93.0,-0.44101253,-0.3004642833333333,-0.23566644,-278.66333333333336,-240.32333333333332,-8.541191120266047,9.42773858767285,-0.5,-12.666666666666666,-22.09440525433952,8.8,1.3999999999999997,4.0,3.8,1.1,3.9,5.0,1.0,4.0,3.0127635790539693,far,non_dense,99.0,99.0,112,2,4,1,6,0.21959925258149898,-9.20279175043106
63,46.0,-0.3530390833333333,-0.32970823,-0.2274458733333333,-301.1933333333333,-204.66333333333333,-11.179335063241377,7.561258557435562,-0.5,-15.0,-22.561258557435565,10.4,1.8,2.0,3.0,1.6000000000000003,5.8,4.0,1.0,3.0,2.277011566845708,far,dense,99.0,99.0,119,2,1,1,1,0.4387128011773291,-10.180380940437317
40,44.0,-0.24647727,-0.30183422,-0.42581286,-421.66,-126.25333333333332,-16.483643084938116,10.75869390023059,-0.5,-21.0,-31.758693900230583,3.2000000000000006,1.2,2.0,1.1,0.9,1.2,2.0,2.0,1.0,2.127491123616182,far,dense,1.5,0.5,120,2,2,2,2,1.7319050132164944,-12.799030542373657
28,9.0,-0.4259929433333333,-0.0137834166666666,-0.1977215233333333,78.02666666666664,-55.77666666666666,16.795273458078245,25.805971507873146,0.5,32.0,6.194028492126857,0.9,2.6,1.0,0.0,0.4000000000000001,0.5,0.0,1.0,1.0,2.628680605109988,near,dense,0.0,0.0,115,2,1,1,1,0.36998893317851866,15.822690725326538
30,24.0,-0.38188547,-0.2005253033333333,-0.2284029866666666,155.49666666666667,-154.02,4.740111173142064,-0.800829603962514,0.5,11.666666666666666,12.467496270629182,8.1,1.5,1.0,2.2,0.8000000000000002,5.1,1.0,1.0,3.0,1.1974655511376209,near,dense,0.0,0.0,120,1,4,1,6,4.2066363668606845,9.777413308620453
72,80.0,-0.3480261833333333,-0.3255573033333333,-0.2407811433333333,-199.9333333333333,-145.16333333333333,-13.812006083160869,0.2830069840830311,-0.5,-15.0,-15.28300698408303,6.400000000000001,3.9,4.0,4.8,0.4000000000000001,1.2,2.0,1.0,2.0,6.292227015433092,far,non_dense,0.0,0.0,116,1,4,1,6,0.5895360858300148,-10.102511197328568
28,85.0,-0.4740623466666667,-0.14058116,-0.22323635,211.86,-80.83999999999999,6.9582098332906455,-9.818184505408366,0.5,7.0,16.818184505408365,8.8,1.2,4.0,1.1,2.3,5.400000000000001,1.0,1.0,7.0,2.537808217676573,far,non_dense,0.0,0.0,115,2,1,1,1,0.30988943881163483,7.744649797677994
37,9.0,-0.4026656266666666,-0.0293688333333333,-0.1875067566666667,339.85,7.513333333333332,17.22029487808059,-5.818185751057893,0.5,19.33333333333333,25.151519084391225,1.8,1.2,1.0,1.8,0.0,0.0,2.0,0.0,0.0,2.635081771277252,near,dense,0.0,0.0,120,3,3,2,3,2.1472784987424482,11.562040448188782
59,16.0,-0.4360592066666666,-0.06991361,-0.2286539233333333,246.76333333333332,-43.916666666666686,37.83866446437446,-4.9192852113443415,0.5,13.666666666666666,18.58595187801101,3.4,0.4000000000000001,1.0,3.4,0.0,0.0,5.0,0.0,0.0,6.656566312504903,near,dense,0.0,0.0,119,2,2,2,2,4.276948241798533,9.368874877691269
11,95.0,-0.2982171216666666,-0.0888545033333333,-0.3144241783333333,249.67666666666665,-165.43666666666667,15.569348071804278,5.863392159980514,0.5,24.5,18.636607840019483,6.0,1.2,4.0,2.5,0.6,2.9,4.0,1.0,3.0,5.613490397234616,far,non_dense,-1.0,-1.25,113,2,4,1,6,0.6680441092441748,11.81928887963295
72,90.0,-0.3900994666666666,-0.1826677766666666,-0.2160338266666666,8.366666666666683,-129.1,6.362398796234896,18.027114357062658,0.5,18.666666666666668,0.6395523096040089,15.300000000000002,1.6000000000000003,4.0,7.7,0.0,7.599999999999999,3.0,0.0,2.0,2.559723422953029,far,non_dense,0.0,0.0,116,1,4,1,6,1.373183225570776,9.877368062734604
53,32.0,-0.2780721,-0.1441866066666667,-0.2546242083333333,347.9916666666668,-130.665,15.959178006037371,18.470268798305188,0.5,45.0,26.52973120169481,8.0,7.7,2.0,6.5,1.5,0.0,4.0,2.0,0.0,2.7891677970903586,far,dense,0.0,0.0,118,2,2,2,2,0.23263596001858805,15.310317277908325
42,6.0,-0.3320919,-0.0734792233333333,-0.2328291333333333,274.48,-21.173333333333336,11.583400034124375,-2.3495930797921702,0.5,18.33333333333333,20.682926413125504,5.2,1.2,1.0,1.7,0.9,2.6,2.0,1.0,3.0,1.6843013509041689,near,dense,0.0,0.0,118,2,3,2,3,0.4404838066774716,10.8414925634861
63,83.0,-0.2452770166666666,-0.1258583933333333,-0.2424145333333333,298.07,-141.50333333333333,11.084749751766054,18.67269858269943,0.5,41.0,22.32730141730057,5.400000000000001,2.0,4.0,1.3,1.2,2.9,2.0,1.0,3.0,3.733905563212083,far,non_dense,99.0,99.0,119,2,1,1,1,1.0776910316337036,15.10874629020691
33,83.0,-0.3049458866666666,-0.1488091,-0.20832877,308.15000000000003,-234.9033333333333,9.52370436112748,13.76291214427301,0.5,38.0,24.237087855726987,9.3,1.9,4.0,0.0,3.6,5.7,0.0,1.0,4.0,3.318360584430829,far,non_dense,0.0,0.0,114,2,2,1,2,1.3805427897181712,14.104843139648438
29,31.0,-0.1958221633333333,-0.1602626566666666,-0.3242584866666666,339.01,-93.82,12.483573341813887,-18.00522492158406,0.5,8.333333333333334,26.33855825491739,5.8,1.3,2.0,0.4000000000000001,0.0,5.400000000000001,1.0,0.0,3.0,3.488437433625649,far,dense,2.0,0.75,122,2,1,2,1,1.0503028497325377,8.819657564163208
30,70.0,-0.41535035,-0.15282861,-0.2162023033333333,263.89000000000004,-251.5,10.34696389829697,-1.8249825417529544,0.5,19.33333333333333,21.158315875086288,5.3,1.2,3.0,1.5,1.6000000000000003,2.2,1.0,1.0,4.0,3.933793739124509,near,non_dense,0.0,0.0,120,1,4,1,6,0.18393333139253545,11.07051968574524
38,65.0,-0.40842069,-0.3058203566666667,-0.2006416933333333,-117.97333333333331,8.810000000000002,-9.77901002359076,-5.233092565774181,-0.5,-15.0,-9.76690743422582,6.099999999999999,0.4000000000000001,3.0,4.2,0.0,1.9,1.0,0.0,2.0,4.121124807290754,near,non_dense,2.0,2.0,115,2,1,2,1,0.21688540575440968,-10.67282184958458
73,31.0,-0.3128325466666666,-0.1232581033333333,-0.2306595433333333,365.5266666666666,279.3866666666667,13.873903681540073,9.59974770906633,0.5,38.0,28.40025229093367,6.2,3.2999999999999994,2.0,0.0,3.2999999999999994,2.9,0.0,1.0,3.0,3.7454938881789697,far,dense,0.0,0.0,114,2,1,1,1,0.013698049295569902,13.925209641456604
39,70.0,-0.244252541111111,-0.1079953711111111,-0.3460306655555555,425.9155555555556,125.24,13.648506893319878,2.6928467791859867,0.5,37.11111111111112,34.41826433192513,2.3,4.6,3.0,0.0,0.0,2.3,0.0,0.0,3.0,5.051146619606315,near,non_dense,0.0,0.0,114,2,5,1,6,0.612038526632322,16.74000322818756
24,9.0,-0.2695339333333333,-0.0105306166666666,-0.2319740966666666,240.35666666666663,-25.74333333333333,17.22124945252953,21.296301118835288,0.5,39.0,17.703698881164712,1.8,1.8,1.0,0.4000000000000001,0.0,1.3999999999999997,1.0,0.0,2.0,2.9580930780517467,near,dense,0.0,0.0,117,3,4,2,6,0.47168845479762495,15.825951099395752
46,74.0,-0.370131225,-0.26245959,-0.2804464,-194.88,-94.05,21.565318364343558,5.078741009658732,0.5,-10.0,-15.078741009658732,5.8,0.7,4.0,5.8,0.0,0.0,3.0,0.0,0.0,6.344459728157947,far,non_dense,-1.0,-1.0,115,2,4,2,6,4.598150961893278,-7.607465237379074
10,89.0,-0.2887384799999999,-0.1733188566666666,-0.3345615866666667,137.8733333333333,-139.6,6.338308708117478,11.974085284376184,0.5,22.0,10.025914715623816,6.5,1.0,4.0,0.0,0.0,6.5,0.0,0.0,8.0,3.267394554118502,far,non_dense,0.0,0.0,118,1,2,1,2,1.6110599786456266,11.602277308702469
73,65.0,-0.4534212366666666,-0.3650827299999999,-0.4321810533333334,-207.85,-200.38666666666663,-21.81537842261694,-4.850720133495332,-0.5,-21.0,-16.149279866504667,6.3,7.099999999999999,3.0,4.9,1.3999999999999997,0.0,4.0,2.0,0.0,7.832400125677658,near,non_dense,0.0,0.0,114,2,1,1,1,1.2066641694035094,-12.364301830530167
23,62.0,-0.3823837366666667,-0.0769186833333333,-0.2304230666666666,288.93333333333334,-163.61666666666667,14.48661620048238,-0.9086836857635808,0.5,22.0,22.90868368576358,4.0,1.7,3.0,1.0,2.1,0.9,1.0,1.0,1.0,5.320281763681755,near,non_dense,99.0,99.0,112,2,4,1,6,0.5076450497109274,11.785801500082016
57,88.0,-0.3330683833333333,-0.1012662233333333,-0.2379076,328.97,-157.5,13.38937008817713,-6.024751270227809,0.5,20.666666666666668,26.69141793689448,3.1,0.9,4.0,0.6999999999999998,0.0,2.4,1.0,0.0,3.0,4.789916018345683,far,non_dense,0.0,0.0,115,2,3,2,3,0.2911939110686784,11.994575709104538
45,70.0,-0.3068528583333333,-0.3250614466666666,-0.3089254683333333,-82.95333333333333,41.861666666666665,10.918459553206352,-15.182856315801295,0.5,-21.5,-6.317143684198702,7.5,0.5,3.0,1.6000000000000003,0.0,5.900000000000001,2.0,0.0,2.0,4.087891337323343,near,non_dense,0.0,0.0,116,2,2,2,2,5.431821643911775,-11.286237090826035
