Participant,Trigger,Condition,Building,Left_Right,accurate_pointing,accurate_gaze,T_detection,T_pointing,T_action,T_conf,length_point,length_gaze,sum_length_gazeb,sum_length_gazem,sum_length_gazec,frequency_point,frequency_b,frequency_m,frequency_c,pointed_or_not,accurate_fused
9,1,1,2,1,0,1,1.5,2.2,0.7,3.5,1.1,5.1,1.8,0,3.3,1,1,0,4,1,1
9,2,1,7,0,1,1,0.7,1.6,0.9,0.4,1.2,5.4,1.9,0,3.5,1,1,0,3,1,1
9,3,1,1,1,0,1,1.2,2.1,0.9,,1.3,0.9,0.9,0,0,1,2,0,0,1,1
9,4,1,3,0,0,1,1.2,1.6,0.4,2.8,1.2,3.5,0.9,0.7,1.9,1,1,1,3,1,1
9,5,1,6,0,0,1,1.2,2.5,1.3,2,1,4.4,1,1,2.4,1,2,2,2,1,1
9,6,1,5,0,1,1,1.5,3.1,1.6,0.7,1.2,6.5,2.3,0,4.2,1,2,0,4,1,1
9,7,1,2,0,0,1,0.9,1.6,0.7,6.6,1.2,5.9,1.7,1.4,2.8,1,1,1,2,1,0
9,8,1,9,0,0,1,0.7,1.5,0.8,0.9,0.9,3.4,1,0.8,1.6,1,1,1,2,1,1
9,9,1,4,0,0,1,1.2,1.3,0.1,2.1,0.9,3.6,0.8,1.1,1.7,1,1,1,2,1,1
9,10,1,7,0,0,1,2.8,2.1,-0.7,,0.7,0.9,0,0.9,0,1,0,1,0,1,1
9,11,1,11,0,0,0,1.8,,,,,,,,,1,,,,0,0
9,12,1,8,0,0,1,1.4,1.4,0,0.6,1.1,1.2,0.8,0,0.4,1,1,0,1,1,1
9,13,1,6,0,0,1,1.4,2.8,1.4,1.6,1.3,7.4,3,0,4.4,1,2,0,4,1,1
9,14,1,8,0,1,1,0.9,1.8,0.9,8.8,1.4,2.5,2,0,0.5,1,1,0,1,1,1
9,15,1,4,0,0,1,2.5,2,-0.5,0.5,0.9,5,0,0.6,4.4,1,0,1,6,1,0
9,16,1,5,0,0,1,2.2,2.6,0.4,0.6,0.8,1.1,0.7,0,0.4,1,1,0,1,1,1
9,17,1,2,0,1,1,0,2.5,2.5,,1.3,2.8,2.3,0.5,0,1,2,1,0,1,1
9,18,1,7,1,0,1,2.3,2.5,0.2,,0.7,1.1,0.6,0.5,0,1,1,1,0,1,0
9,19,1,0,0,0,1,0.7,1.5,0.8,10.5,1.1,2.1,1.5,0,0.6,1,1,0,1,1,1
9,20,1,10,1,0,1,4.4,4.9,0.5,0.8,1,2.7,1,0,1.7,1,1,0,2,1,0
9,21,1,3,1,0,0,,3.3,,,1,,,,,1,,,,1,0
9,22,1,5,0,0,1,2.8,5.1,2.3,,0.9,1.8,1.4,0.4,0,1,2,1,0,1,1
9,23,1,8,1,0,1,2.3,2.4,0.1,,0.9,0.5,0.5,0,0,1,1,0,0,1,1
9,24,1,9,1,1,1,0.7,1.5,0.8,1.5,1.1,7.3,1.5,0,5.8,1,2,0,5,1,1
9,25,2,10,0,0,1,0.3,1.4,1.1,1.9,1.1,5.1,1.6,0,3.5,1,2,0,5,1,1
9,26,2,11,0,0,1,0,0.6,0.6,7.2,1.3,3.7,1.8,0,1.9,1,1,0,3,1,1
9,27,2,6,0,1,1,2.3,3.1,0.8,5.8,1,3.6,1.1,1.2,1.3,1,1,1,1,1,1
9,28,2,3,1,0,0,1.2,,,,,,,,,1,,,,0,0
9,29,2,11,0,1,1,0.1,0.8,0.7,2,1.2,4.2,2.1,0.4,1.7,1,1,1,4,1,1
9,30,2,4,0,0,1,0.5,1.9,1.4,3.4,0.9,3.4,1.3,0.8,1.3,1,2,1,2,1,1
9,31,2,1,0,1,1,1.7,2.3,0.6,0.6,1.8,11.1,2,0,9.1,1,1,0,6,1,1
9,32,2,9,0,1,1,8.5,0.6,-7.9,6.7,1.2,0.9,0,0,0.9,1,0,0,1,1,1
9,33,2,3,0,1,1,0.2,1,0.8,0.7,1.5,3.5,1,0.5,2,1,1,1,3,1,1
9,34,2,11,0,0,1,0.1,0.6,0.5,12,1.1,1.4,0.7,0,0.7,1,1,0,1,1,0
9,35,2,10,0,0,0,0.2,2.3,2.1,0.6,1.2,3.3,0.5,0,2.8,1,1,0,2,1,0
9,36,2,0,0,0,1,0.1,0.6,0.5,,1.6,1.6,1.6,0,0,1,1,0,0,1,1
9,37,2,10,0,1,1,1.3,1.6,0.3,3.4,1,2.4,0.4,0.5,1.5,1,1,1,2,1,1
9,38,2,2,0,0,1,0.1,1,0.9,0.9,1.2,5.8,1.4,0,4.4,1,2,0,3,1,0
9,39,2,3,0,0,0,2.8,0.4,-2.4,1.4,1,3,0,0,3,1,0,0,2,1,0
9,40,2,8,0,0,0,3.2,0.9,-2.3,1.1,1.2,1.2,0,0,1.2,1,0,0,2,1,0
9,41,2,0,0,0,1,0,0.7,0.7,1,1.1,4.4,1.5,0,2.9,1,2,0,4,1,0
9,42,2,3,1,0,0,7.2,2.5,-4.7,3.7,1,0.5,0,0,0.5,1,0,0,1,1,0
9,43,2,8,1,0,0,6.2,,,,,,,,,1,,,,0,0
9,44,2,6,1,0,0,6.1,,,,,,,,,1,,,,0,0
9,45,2,7,1,0,1,0.9,1.5,0.6,5.6,1.2,1.3,0.5,0,0.8,1,1,0,2,1,1
9,46,2,0,1,1,1,0.6,1.4,0.8,0.8,1.6,4.6,2.1,0,2.5,1,1,0,4,1,1
9,47,2,9,1,1,1,0.7,1.2,0.5,,1.5,1.5,1.5,0,0,1,1,0,0,1,1
9,48,2,3,1,1,1,1,2,1,1.3,1,5.3,1.7,0,3.6,1,1,0,2,1,1
9,49,3,0,0,1,1,0.1,1.7,1.6,1,1.7,13.9,2.3,0.5,11.1,1,2,1,9,1,1
9,50,3,9,0,0,1,0.6,2.1,1.5,3,0.8,3.1,1.4,0.5,1.2,1,2,1,2,1,1
9,51,3,11,1,0,0,1,,,,,,,,,1,,,,0,0
9,52,3,0,1,0,1,0.2,0.8,0.6,1.5,1.1,6.4,1.3,0.9,4.2,1,1,1,6,1,1
9,53,3,3,1,0,1,0.1,0.9,0.8,7.9,0.7,1.7,1.2,0,0.5,1,1,0,1,1,1
9,54,3,1,0,1,1,1.8,2.6,0.8,2,1,7.8,2.7,0,5.1,1,1,0,5,1,1
9,55,3,0,1,1,1,0,1.3,1.3,1.3,0.8,10.7,1.7,1.1,7.9,1,1,1,3,1,1
9,56,3,3,0,0,1,0.1,1.1,1,3,0.6,6.8,3.1,0,3.7,1,2,0,5,1,0
9,57,3,11,0,0,1,1.9,3,1.1,1.2,1,8.7,2.6,0,6.1,1,1,0,5,1,0
9,58,3,1,0,1,1,1.3,3.3,2,6.2,1,9.4,1.9,5.8,1.7,1,2,1,2,1,1
9,59,3,7,0,1,1,0.1,2.1,2,4.4,0.8,12.6,5.8,0,6.8,1,2,0,4,1,1
9,60,3,10,0,1,1,1.4,1.8,0.4,3.2,0.8,4.9,2.9,0,2,1,1,0,2,1,1
9,61,3,0,0,0,0,0.2,,,,,,,,,1,,,,0,0
9,62,3,10,0,0,1,1.6,1.8,0.2,4.1,0.8,3.1,0.6,1.1,1.4,1,1,1,2,1,0
9,63,3,6,1,0,1,1.1,2.5,1.4,4.9,0.4,2.5,1.3,0,1.2,1,3,0,2,1,0
9,64,3,7,1,0,1,2.6,3.7,1.1,2.4,0.7,2.9,2,0,0.9,1,1,0,2,1,0
9,65,3,0,1,0,1,0.5,1.4,0.9,1.3,0.7,8.6,1.3,0.5,6.8,1,1,1,3,1,0
9,66,3,2,0,1,1,2.4,3.4,1,5.7,0.8,5.8,4.3,0,1.5,1,1,0,2,1,1
9,67,3,3,1,0,1,0.6,1.4,0.8,8.1,0.7,2.3,1.3,0.5,0.5,1,1,1,1,1,0
9,68,3,4,1,0,1,0.9,1.5,0.6,2.1,0.6,4.5,1,0.5,3,1,1,1,4,1,1
9,69,3,3,0,0,1,0.7,1.6,0.9,4.1,0.7,5.7,2.8,0,2.9,1,1,0,3,1,0
9,70,3,8,0,1,1,1,1.2,0.2,1.8,1.3,5.8,2.9,0,2.9,1,1,0,5,1,1
9,71,3,6,1,0,1,0.5,8.9,8.4,,0.7,2.5,2.1,0.4,0,1,4,1,0,1,1
9,72,3,4,1,0,1,0.3,1.4,1.1,2.6,1,2.9,1.4,0.4,1.1,1,2,1,1,1,0
9,73,4,9,0,1,1,0,0.9,0.9,2.1,0.7,7.5,1.3,1.3,4.9,1,1,1,5,1,1
9,74,4,2,0,1,1,0.2,1,0.8,4.1,0.9,8.3,4.8,0,3.5,1,1,0,2,1,1
9,75,4,6,1,0,1,0.6,1.7,1.1,0.9,1.1,6.8,1.6,0,5.2,1,2,0,4,1,1
9,76,4,4,1,1,1,1,2.4,1.4,0.4,1.5,7.6,2,0,5.6,1,2,0,5,1,1
9,77,4,9,1,1,1,0.5,1.5,1,0.6,0.8,9,1.8,0,7.2,1,1,0,4,1,1
9,78,4,10,0,1,1,0,1.3,1.3,2,1.1,6.8,1.8,0.9,4.1,1,1,1,5,1,1
9,79,4,8,1,1,1,0.6,1.5,0.9,1.8,0.8,4.9,1.5,0,3.4,1,1,0,4,1,1
9,80,4,1,1,0,1,0.5,1.9,1.4,3.5,1,8.1,5.2,0,2.9,1,2,0,4,1,1
9,81,4,5,1,0,1,0.7,2.1,1.4,1.6,0.8,3.5,1.4,0,2.1,1,2,0,3,1,0
9,82,4,11,0,1,1,0.3,1.1,0.8,3.9,0.8,8.9,3.6,0,5.3,1,1,0,3,1,1
9,83,4,5,0,1,1,1.6,1.1,-0.5,4,1.3,8.1,0,4.6,3.5,1,0,1,4,1,1
9,84,4,10,0,1,1,2.3,0.6,-1.7,0.6,1.1,4.3,0,0,4.3,1,0,0,5,1,1
9,85,4,6,0,0,1,0.5,1.6,1.1,2.5,0.8,7.4,1.6,0.8,5,1,1,1,5,1,0
9,86,4,4,0,0,1,2.1,0.9,-1.2,0.5,0.7,6.3,0,0,6.3,1,0,0,4,1,0
9,87,4,8,0,1,1,0,0.8,0.8,0.8,0.8,7.9,1.1,0.4,6.4,1,1,1,7,1,1
9,88,4,3,0,0,0,1.9,0.3,-1.6,0.8,0.8,6.1,0,0,6.1,1,0,0,5,1,0
9,89,4,0,0,1,1,2.8,0.5,-2.3,1.4,0.9,7.5,0,0,7.5,1,0,0,8,1,1
