,Participant,trigger_no,fzd_hands0_fingerTip_coordinates_x,fzd_hands0_fingerTip_coordinates_y,fzd_hands0_fingerTip_coordinates_z,eyegaze_new_coordinates_x,eyegaze_new_coordinates_y,angle_center,Buidling_half_width,eyegaze_new_coordinates_x_without_tablet_&_road_gazes,eyegaze_new_coordinates_y_without_tablet_&_road_gazes,angle_center_scaled,Buidling_half_width_scaled,horizontal_angle_finger_pointing_unscaled,eyegaze_horiz_angle_x,horizontal_angle_finger_pointing,eyegaze_horiz_angle_x_scaled_without_tablet,side,difference,D_p,D_g,Trigger,Condition,T_detection,T_pointing,T_action,T_conf,length_point,length_gaze,sum_length_gazeb,sum_length_gazem,sum_length_gazec,frequency_b,frequency_m,frequency_c
0,9,49.0,-0.33594942,-0.16890112,-0.28190914,277.46000000000004,-145.69,11.958242571662392,5.382332197365402,277.46000000000004,-145.69,26.8701710585254,12.094100447480056,18.0,20.28574339,6.48,10.751444,0.5,-2.2857433900000004,-6.041757428337608,-8.327500818337608,49,3,0.1,1.7,1.6,1.0,1.7,13.9,2.3,0.5,11.1,2.0,1.0,9.0
1,9,49.0,-0.33652014,-0.17986438,-0.32439592,254.15,-92.33,12.128291763437618,5.424178926705601,254.15,-92.33,27.252271592444327,12.188130048307482,13.0,18.58149529,4.68,9.848192502,0.5,-5.581495289999999,-0.871708236562382,-6.4532035265623815,49,3,0.1,1.7,1.6,1.0,1.7,13.9,2.3,0.5,11.1,2.0,1.0,9.0
2,9,49.0,-0.33374226,-0.18026567,-0.33281446,284.71000000000004,-148.49,12.21228061196742,5.47615903488637,284.71000000000004,-148.49,27.44099453509079,12.304929351389672,15.0,20.81580768,5.4,11.03237807,0.5,-5.815807679999999,-2.7877193880325795,-8.603527068032578,49,3,0.1,1.7,1.6,1.0,1.7,13.9,2.3,0.5,11.1,2.0,1.0,9.0
3,9,50.0,-0.19350319,-0.18275405,-0.27135938,299.32000000000005,-63.25999999999999,15.229356273864331,5.693862578810336,299.32000000000005,-63.25999999999999,34.220363547373154,12.794109214586824,-45.0,21.88397863,-16.2,11.59850867,0.5,-66.88397863,60.22935627386433,-6.65462235613567,50,3,0.6,2.1,1.5,3.0,0.8,3.1,1.4,0.5,1.2,2.0,1.0,2.0
4,9,50.0,-0.19466636,-0.18540275,-0.26860547,402.71,-84.81,15.311622182775736,5.7568247901999205,402.71,-84.81,34.40521504469708,12.935585303579218,45.0,29.44306105,16.2,15.60482236,0.5,15.55693895,-29.688377817224264,-14.131438867224263,50,3,0.6,2.1,1.5,3.0,0.8,3.1,1.4,0.5,1.2,2.0,1.0,2.0
5,9,50.0,-0.20169732,-0.18454839,-0.26788449,400.04,-104.07,15.53594136092484,5.821133397703011,400.04,-104.07,34.90926023799812,13.080086744638663,45.0,29.24785117,16.2,15.50136112,0.5,15.75214883,-29.46405863907516,-13.71190980907516,50,3,0.6,2.1,1.5,3.0,0.8,3.1,1.4,0.5,1.2,2.0,1.0,2.0
6,9,52.0,-0.15311196,-0.36605227,-0.31076902,-240.02,-49.620000000000005,-12.064887773888003,4.480585228731637,,,-27.10980282792634,10.067875008959987,-37.0,-17.54841825,-13.32,,-0.5,-19.45158175,24.935112226112,5.483530476111998,52,3,0.2,0.8,0.6,1.5,1.1,6.4,1.3,0.9,4.2,1.0,1.0,6.0
7,9,52.0,-0.15128897,-0.36700252,-0.31083736,-241.39,-49.610000000000014,-12.063790194948629,4.512664240598676,,,-27.10733656804957,10.139956548625229,-42.0,-17.64858213,-15.12,,-0.5,-24.35141787,29.93620980505137,5.584791935051372,52,3,0.2,0.8,0.6,1.5,1.1,6.4,1.3,0.9,4.2,1.0,1.0,6.0
8,9,52.0,-0.14621307,-0.36463305,-0.3090907,-243.28,-55.98000000000002,-12.104611090900068,4.545200503160709,,,-27.19906112125245,10.213065530602112,-42.0,-17.7867644,-15.12,,-0.5,-24.2132356,29.89538890909993,5.682153309099931,52,3,0.2,0.8,0.6,1.5,1.1,6.4,1.3,0.9,4.2,1.0,1.0,6.0
9,9,53.0,-0.15415475,-0.36589038,-0.3079682,-332.08,-61.63,-15.732962094815454,4.623231606601079,-332.08,-61.63,-35.35196582705032,10.388401420032626,-42.0,-24.27913813,-15.12,-12.86794321,-0.5,-17.72086187,26.267037905184544,8.546176035184546,53,3,0.1,0.9,0.8,7.9,0.7,1.7,1.2,0.0,0.5,1.0,0.0,1.0
