participant,trigger,x,y,z,gx,gy,target,difference,side,angle_p,angle_g,l_g,l_p,cond,sgb,sgm,sgc,f_b,f_m,f_c,h_B_w,distance,dense_column,VS left,VS right,Height,DomHand,regularity,Geschlecht
9,1.0,-0.19790094333333333,-0.36412606666666664,-0.2453602566666667,-227.77666666666664,-110.16666666666667,-10.346543642849262,-18.34672021333333,-0.5,-35.0,-16.65327978666667,5.1,1.1,1.0,1.8,0.0,3.2999999999999994,1.0,0.0,4.0,1.3920578552396927,near,dense,0.0,0.0,118,2,4,1
9,2.0,-0.24836062,-0.22386828,-0.22986770999999998,233.79000000000005,-171.58666666666667,9.599905906100814,3.9070714800000004,0.5,21.0,17.09292852,5.400000000000001,1.2,1.0,1.8999999999999997,0.0,3.5,1.0,0.0,3.0,1.4690357902440283,near,dense,0.0,0.0,118,2,4,1
9,3.0,-0.18575901333333333,-0.38529582,-0.2502337533333333,-349.7633333333333,-158.89666666666668,-13.586334530236007,-16.427992406666664,-0.5,-42.0,-25.572007593333336,0.9,1.3,1.0,0.9,0.0,0.0,2.0,0.0,0.0,2.6497147316609833,near,dense,0.0,0.0,118,2,4,1
9,4.0,-0.22625752,-0.18604648666666668,-0.21944683666666667,329.2966666666667,-193.4433333333333,13.034893519105205,19.59102449,0.5,43.666666666666664,24.075642176666666,3.5,1.2,1.0,0.9,0.6999999999999998,1.8999999999999997,1.0,1.0,3.0,1.9642965430211425,near,dense,0.0,0.0,118,2,4,1
9,5.0,-0.16033111,-0.21823531666666665,-0.23666988,396.37000000000006,-60.28333333333334,15.859600926412563,9.020471036666665,0.5,38.0,28.979528963333337,4.4,1.0,1.0,1.0,1.0,2.4,2.0,2.0,2.0,2.4857748138875286,near,dense,0.0,0.0,118,2,4,1
9,6.0,-0.20474972333333333,-0.22731307999999997,-0.24533050333333337,258.4666666666667,-109.37,10.769231686416832,4.436236546666667,0.5,23.333333333333332,18.897096786666665,6.5,1.2,1.0,2.3,0.0,4.2,2.0,0.0,4.0,1.6545891313570718,near,dense,0.0,0.0,118,2,4,1
9,7.0,-0.18148513666666666,-0.23901701,-0.2555852633333333,256.9633333333333,-148.67,12.104073626662037,10.87948206,0.5,29.666666666666668,18.787184606666667,5.900000000000001,1.2,1.0,1.7,1.3999999999999997,2.7999999999999994,1.0,1.0,2.0,1.436009375576628,near,dense,0.0,0.0,118,2,4,1
9,8.0,-0.18409434,-0.22717590333333335,-0.26111387999999996,339.1433333333333,-160.13333333333333,13.900970641679729,20.20444521,0.5,45.0,24.79555479,3.4,0.9,1.0,1.0,0.8000000000000002,1.6000000000000003,1.0,1.0,2.0,2.0765984161466142,near,dense,0.0,0.0,118,2,4,1
9,9.0,-0.19712569333333332,-0.1828310333333333,-0.24472697666666665,351.1966666666667,-78.03666666666666,16.155093656248027,-10.676801913333335,0.5,15.0,25.676801913333335,3.6,0.9,1.0,0.8000000000000002,1.1,1.7,1.0,1.0,2.0,2.47299028165034,near,dense,0.0,0.0,118,2,4,1
9,12.0,-0.21250774333333333,-0.18645169666666664,-0.24259766666666663,342.3333333333333,-154.49333333333334,14.681980374113076,18.637883586666664,0.5,43.666666666666664,25.02878308,1.2,1.1,1.0,0.8000000000000002,0.0,0.4000000000000001,1.0,0.0,1.0,2.2317840248459406,near,dense,0.0,0.0,118,2,4,1
9,13.0,-0.2089029,-0.21890966999999997,-0.24579281333333333,221.2966666666667,-95.65333333333335,11.175293752996843,28.820488026666666,0.5,45.0,16.179511973333334,7.400000000000001,1.3,1.0,3.0,0.0,4.4,2.0,0.0,4.0,1.7308955640969736,near,dense,0.0,0.0,118,2,4,1
9,14.0,-0.20659153,-0.20547804666666666,-0.2355183633333333,237.23666666666668,-119.40333333333335,11.910894275773458,18.655077693333336,0.5,36.0,17.344922306666664,2.5,1.3999999999999997,1.0,2.0,0.0,0.5,1.0,0.0,1.0,1.9533909564445213,near,dense,0.0,0.0,118,2,4,1
