Participants,Accuracy,MRDE
P28,24.39,12.32
P74,50.00,1.43
P22,33.33,3.68
P26,47.17,1.72
P32,47.54,2.96
P52,19.44,1.55
P21,35.48,6.72
P66,35.29,2.78
P71,43.75,1.33
P19,47.37,2.84
P58,47.62,1.14
P60,52.94,2.36
P28,24.39,12.32
P74,50.00,1.43
P22,33.33,3.68
P26,47.17,1.72
P32,47.54,2.96
P52,19.44,1.55
P21,35.48,6.72
P66,35.29,2.78
P71,43.75,1.33
P19,47.37,2.84
P58,47.62,1.14
P60,52.94,2.36
P28,24.39,12.32
P74,50.00,1.43
P22,33.33,3.68
P26,47.17,1.72
P32,47.54,2.96
P52,19.44,1.55
P21,35.48,6.72
P66,35.29,2.78
P71,43.75,1.33
P19,47.37,2.84
P58,47.62,1.14
P60,52.94,2.36
